TSID,peer,parent,self,teacher
1042333052,17,26,17,27
1042333062,27,26,18,28
1042333071,5,27,28,28
1042333081,28,26,26,27
1042333092,23,28,25,28
1042333101,25,24,24,27
1042336012,19,25,20,22
1042336022,13,29,10,10
1042336031,16,31,25,20
1042336041,20,28,24,24
1042336052,25,27,25,14
1042336062,25,25,26,16
1042336071,28,28,26,24
1042336081,17,22,31,12
1042336092,7,13,21,9
1042336101,24,24,23,23
1042343012,19,19.5,29,17
1042343022,17,15,18,13
1042343031,23,30,27,11
1042343041,12,24,26,13
1042343052,21,26,20,15
1042343062,24,22,14,16
1042343071,25,19,12,13
1042343081,24,28,27,8
1042343092,25,30,26,28
1042343101,24,27,28,15
1042346012,3,18,17,8
1042346022,8,21,19,25
1042346031,18,24,20,27
1042346041,31,26,24,31
1042346052,4,29,24,6
1042346062,27,29,23,26
1042346071,26,30,26,30
1042346081,29,30,12,27
1042346092,26,19,20,28
1042346101,16,28,29,27
1042383012,21,21,24,11
1042383022,22,22,22,25
1042383031,21,27,20,30
1042383041,11,26,18,16
1042383052,24,30,20,17
1042383062,23,25,28,26
1042383071,15,14,22,23
1042383081,18,20,20,19
1042383092,22,22,18,24
1042383101,14,12,21,27
1042386012,27,23,28,31
1042386022,30,25,26,32
1042386031,28,23,13,31
1042386041,28,21,24,31
1042386052,32,27,29,32
1042386062,29,28,32,32
1042386071,27,26,28,28
1042386081,27,27,29,29
1042386092,29,30,27,30
1042386101,30,32,28,30
1042423012,24,28,27,28
1042423022,25,29,26,28
1042423031,23,28,24,28
1042423041,20,19,24,15
1042423052,21,23,12,20
1042423062,9,25,25,22
1042423071,8,23,23,18
1042423081,24,30,24,20
1042423092,26,22,22,28
1042423101,21,26,24,26
1042426012,25,23,23,23
1042426022,28,28,28,27
1042426031,32,29,29,29
1042426041,29,19,16,19
1042426052,21,22,26,22
1042426062,28,21,22,21
1042426071,19,21,27,21
1042426081,20,20,15,20
1042426092,23,24,26,24
1042426101,25,21,23,22
1051143012,26,27,20,26
1051143022,21,21,22,20
1051143031,12,23,29,18
1051143041,22,22,17,23
1051143052,20,23,22,23
